URL,Image URL,Name,Number,Set,Price
https://limitlesstcg.com/cards/SI/1,https://images.pokemontcg.io/si1/1_hires.png,Mew,#1,Southern Islands (SI),166.45
https://limitlesstcg.com/cards/SI/2,https://images.pokemontcg.io/si1/2_hires.png,Pidgeot,#2,Southern Islands (SI),19.91
https://limitlesstcg.com/cards/SI/3,https://images.pokemontcg.io/si1/3_hires.png,Onix,#3,Southern Islands (SI),19.66
https://limitlesstcg.com/cards/SI/4,https://images.pokemontcg.io/si1/4_hires.png,Togepi,#4,Southern Islands (SI),45.15
https://limitlesstcg.com/cards/SI/5,https://images.pokemontcg.io/si1/5_hires.png,Ivysaur,#5,Southern Islands (SI),19.16
https://limitlesstcg.com/cards/SI/6,https://images.pokemontcg.io/si1/6_hires.png,Raticate,#6,Southern Islands (SI),16.72
https://limitlesstcg.com/cards/SI/7,https://images.pokemontcg.io/si1/7_hires.png,Ledyba,#7,Southern Islands (SI),20.15
https://limitlesstcg.com/cards/SI/8,https://images.pokemontcg.io/si1/8_hires.png,Jigglypuff,#8,Southern Islands (SI),20.91
https://limitlesstcg.com/cards/SI/9,https://images.pokemontcg.io/si1/9_hires.png,Butterfree,#9,Southern Islands (SI),20.33
https://limitlesstcg.com/cards/SI/10,https://images.pokemontcg.io/si1/10_hires.png,Tentacruel,#10,Southern Islands (SI),17.14
https://limitlesstcg.com/cards/SI/11,https://images.pokemontcg.io/si1/11_hires.png,Marill,#11,Southern Islands (SI),25.92
https://limitlesstcg.com/cards/SI/12,https://images.pokemontcg.io/si1/12_hires.png,Lapras,#12,Southern Islands (SI),26.54
https://limitlesstcg.com/cards/SI/13,https://images.pokemontcg.io/si1/13_hires.png,Exeggutor,#13,Southern Islands (SI),16.25
https://limitlesstcg.com/cards/SI/14,https://images.pokemontcg.io/si1/14_hires.png,Slowking,#14,Southern Islands (SI),33.46
https://limitlesstcg.com/cards/SI/15,https://images.pokemontcg.io/si1/15_hires.png,Wartortle,#15,Southern Islands (SI),25.31
https://limitlesstcg.com/cards/SI/16,https://images.pokemontcg.io/si1/16_hires.png,Lickitung,#16,Southern Islands (SI),15.67
https://limitlesstcg.com/cards/SI/17,https://images.pokemontcg.io/si1/17_hires.png,Vileplume,#17,Southern Islands (SI),30.16
https://limitlesstcg.com/cards/SI/18,https://images.pokemontcg.io/si1/18_hires.png,Primeape,#18,Southern Islands (SI),15.19
