Name,URL,Price,ID,Image File
Pikachu,https://limitlesstcg.com/cards/WP/1,30.71,01983d60-a041-7bfe-97ae-c7d7b13e3448,image/Pikachu.png
Electabuzz,https://limitlesstcg.com/cards/WP/2,3.06,01983d60-aaaf-7b01-ac42-2a36396c7229,image/Electabuzz.png
Mewtwo,https://limitlesstcg.com/cards/WP/3,7.81,01983d60-b3de-7382-848f-f1c03bd98854,image/Mewtwo.png
Pikachu,https://limitlesstcg.com/cards/WP/4,7.14,01983d60-be71-748e-a901-48a7607afc23,image/Pikachu.png
Dragonite,https://limitlesstcg.com/cards/WP/5,13.01,01983d60-c904-7054-8f08-e7d3018e4cf7,image/Dragonite.png
Arcanine,https://limitlesstcg.com/cards/WP/6,10.47,01983d60-d27d-7ac5-854d-84730c0e35ac,image/Arcanine.png
Jigglypuff,https://limitlesstcg.com/cards/WP/7,5.89,01983d60-dba2-7c80-83b9-161ab1276cd2,image/Jigglypuff.png
Mew,https://limitlesstcg.com/cards/WP/8,4.97,01983d60-e4ef-7219-a7fd-b84920e4f179,image/Mew.png
Mew,https://limitlesstcg.com/cards/WP/9,29.53,01983d60-ee73-7c7c-b9d1-c61baee7e727,image/Mew.png
Meowth,https://limitlesstcg.com/cards/WP/10,5.43,01983d60-f894-70d1-ac73-738c13644c49,image/Meowth.png
Eevee,https://limitlesstcg.com/cards/WP/11,21.43,01983d61-0bde-7fbb-80b2-aac7d42e2292,image/Eevee.png
Mewtwo,https://limitlesstcg.com/cards/WP/12,96.70,01983d61-1521-7bfe-9705-4148dc286ca8,image/Mewtwo.png
Venusaur,https://limitlesstcg.com/cards/WP/13,110.10,01983d61-1ed7-7dc2-8348-3ddf73b0c6a8,image/Venusaur.png
Mewtwo,https://limitlesstcg.com/cards/WP/14,6.64,01983d61-2dfe-7c72-af4a-ffa9e8b252da,image/Mewtwo.png
Cool Porygon,https://limitlesstcg.com/cards/WP/15,40.57,01983d61-37b6-7c8a-87c5-63887d16107b,image/Cool_Porygon.png
Computer Error,https://limitlesstcg.com/cards/WP/16,2.53,01983d61-4389-7761-8636-99f88d721f35,image/Computer_Error.png
Dark Persian,https://limitlesstcg.com/cards/WP/17,45.66,01983d61-4d14-7c89-908f-b4ad7172e4b2,image/Dark_Persian.png
Team Rocket's Meowth,https://limitlesstcg.com/cards/WP/18,19.64,01983d61-5907-7a05-912e-c503704ecf15,image/Team_Rocket_s_Meowth.png
Sabrina's Abra,https://limitlesstcg.com/cards/WP/19,9.11,01983d61-62f6-7646-ad51-7c74bb67c486,image/Sabrina_s_Abra.png
Psyduck,https://limitlesstcg.com/cards/WP/20,23.96,01983d61-6daf-716f-923d-58984806155d,image/Psyduck.png
Moltres,https://limitlesstcg.com/cards/WP/21,6.13,01983d61-7793-7a1f-be9a-023a7fbb53d5,image/Moltres.png
Articuno,https://limitlesstcg.com/cards/WP/22,8.36,01983d61-8721-7255-9839-5cf51c33d66f,image/Articuno.png
Zapdos,https://limitlesstcg.com/cards/WP/23,9.32,01983d61-941f-7992-90de-745d73e8ff9e,image/Zapdos.png
_____'s Pikachu,https://limitlesstcg.com/cards/WP/24,139.16,01983d61-9d6b-79d9-a4b8-d35f52fdfa48,image/s_Pikachu.png
Flying Pikachu,https://limitlesstcg.com/cards/WP/25,11.65,01983d61-a8b5-7179-88fa-6f7d56427aed,image/Flying_Pikachu.png
Pikachu,https://limitlesstcg.com/cards/WP/26,29.48,01983d61-b22e-74f0-bc19-3e5489ab37dd,image/Pikachu.png
Pikachu,https://limitlesstcg.com/cards/WP/27,9.94,01983d61-c136-7fbe-aeea-5b4fd9e8082f,image/Pikachu.png
Surfing Pikachu,https://limitlesstcg.com/cards/WP/28,21.29,01983d61-cbfc-7910-a700-27833cbba99d,image/Surfing_Pikachu.png
Marill,https://limitlesstcg.com/cards/WP/29,4.84,01983d61-d61e-77f7-a090-ee44e7b5149e,image/Marill.png
Togepi,https://limitlesstcg.com/cards/WP/30,5.25,01983d61-e044-773d-8836-68973aa020bf,image/Togepi.png
Cleffa,https://limitlesstcg.com/cards/WP/31,5.03,01983d61-eb1e-7f7c-aab0-4530fbdad052,image/Cleffa.png
Smeargle,https://limitlesstcg.com/cards/WP/32,4.58,01983d61-f487-7a0a-819f-7ad5831c849b,image/Smeargle.png
Scizor,https://limitlesstcg.com/cards/WP/33,8.33,01983d61-fe68-746b-873a-29c8efd02634,image/Scizor.png
Entei,https://limitlesstcg.com/cards/WP/34,16.59,01983d62-096c-70de-b662-6d78deb33227,image/Entei.png
Pichu,https://limitlesstcg.com/cards/WP/35,39.14,01983d62-1353-7bf5-be7e-8343dc2454c4,image/Pichu.png
Igglybuff,https://limitlesstcg.com/cards/WP/36,4.85,01983d62-1d86-7978-acdc-1515fd989517,image/Igglybuff.png
Hitmontop,https://limitlesstcg.com/cards/WP/37,5.35,01983d62-2784-7839-ab49-ac582d04ffb2,image/Hitmontop.png
Unown [J],https://limitlesstcg.com/cards/WP/38,9.88,01983d62-3273-72ff-a76f-9155b0f0e7f2,image/Unown__J.png
Misdreavus,https://limitlesstcg.com/cards/WP/39,4.66,01983d62-3efd-7644-8b53-cfbb5d0051c0,image/Misdreavus.png
Pokémon Center,https://limitlesstcg.com/cards/WP/40,584.67,01983d62-4816-7930-a35c-8110b99ae293,image/Pok_mon_Center.png
Lucky Stadium,https://limitlesstcg.com/cards/WP/41,607.49,01983d62-5154-7777-ba38-20cf0a5dce5d,image/Lucky_Stadium.png
Pokémon Tower,https://limitlesstcg.com/cards/WP/42,7.56,01983d62-5daf-7c1d-8c92-c5fb5f4527e0,image/Pok_mon_Tower.png
Machamp,https://limitlesstcg.com/cards/WP/43,37.57,01983d62-6a11-7911-98b3-e9f074e0541e,image/Machamp.png
Magmar,https://limitlesstcg.com/cards/WP/44,7.45,01983d62-732a-75ff-9a10-0c15db830775,image/Magmar.png
